position.x,position.y,position.z
-0.022891,0.0010658,0.0029993
-0.022738,-0.0028044,0.002
-0.022404,0.0049082,0.002
-0.021901,-0.0067422,0.002
-0.021262,0.008609,0.003
-0.020414,-0.010319,0.0029984
-0.019489,0.012052,0.002
-0.019187,-6.7148E-05,0.002
-0.018934,-0.0040591,0.002
-0.018538,0.0038798,0.002
-0.01846,-0.013663,0.002
-0.017488,0.0077394,0.002
-0.017483,-0.0077868,0.002
-0.017135,0.015286,0.002
-0.015868,-0.016541,0.003
-0.01563,0.011717,0.003
-0.015524,0.0011897,0.003
-0.015338,-0.011163,0.002
-0.014944,-0.0042344,0.002227
-0.014199,0.018003,0.002
-0.013524,0.0084672,0.002
-0.013432,0.0044688,0.002068
-0.01316,-0.0078074,0.002
-0.012836,-0.01895,0.002
-0.012764,-0.014225,0.002
-0.012426,-0.0011348,0.002
-0.011773,0.012063,0.002
-0.010859,0.020204,0.002
-0.010774,0.015937,0.002
-0.01063,-0.004709,0.002
-0.010587,-0.010869,0.002
-0.010163,0.0021636,0.002
-0.010015,0.0065476,0.002
-0.0095728,-0.016636,0.002
-0.0093904,-0.020896,0.0025891
