position.x,position.y,position.z
-0.0083676,-0.0014106,0.002
-0.0082635,0.010144,0.002
-0.0080567,-0.007771,0.002
-0.0074293,0.017889,0.003
-0.0073953,-0.013281,0.002
-0.0072633,0.014019,0.002
-0.0071713,0.021754,0.002
-0.0063169,0.0032613,0.002
-0.0059184,-0.018263,0.002
-0.0057939,-0.0044726,0.002
-0.005675,-0.022255,0.002
-0.0055661,0.0071902,0.002
-0.0048655,-0.010183,0.002
-0.0045212,-0.00031302,0.002
-0.0044098,0.011216,0.002
-0.0037409,-0.014907,0.002
-0.0036423,0.018701,0.002
-0.0032812,0.022684,0.002
-0.0026733,0.01482,0.002
-0.002526,0.0045377,0.002
-0.0023278,-0.0070907,0.002
-0.0019609,-0.018845,0.002
-0.0017176,-0.022837,0.002
-0.0016927,-0.0031414,0.002
-0.0015518,0.0084173,0.002
-0.0011275,-0.011607,0.002
-0.00068241,0.00081123,0.002
0.00018422,0.012021,0.002
0.00035305,0.018509,0.002
0.00071799,0.022602,0.002
0.0012407,-0.01483,0.002
0.0020379,-0.01875,0.002
0.0022813,-0.022742,0.002
0.0046945,0.02217,0.002
0.0056711,-0.020423,0.002
